"Date","Alibaba","Alphabet","AMCX","Autonation Inc","Brunswick Corp","Buzzfeed","CBRE","Comcast","Compass Inc","CRMT","Doordash","Ebay","Etsy","EXP World Holding","Joyy","Kingsoft","Nextdoor Holding","Opendoor","Oracle","Paltalk","Paramount Global","Phoenix New","Pinterest","Sirius XM Holding","Snowflake","Spotify","Topgolf Callaway","Uber","Vista Outdoor","VROOM Inc","Warner Bros","Weibo","Yelp"
2021-10-08,118.12,139.786,45.91,118.12,99.4,9.96,97.1,54.7,11.35,117.63,204.42,75.05,212.02,41.44,55.78,28.45,10.02,21.66,94.39,8.14,39.81,7.62,51.64,6.06,313.52,232.88,27.42,47.77,41.18,21.3,NA,48.56,38.84
2021-10-07,117.49,139.225,45.85,117.49,99.8,9.94,98.64,57.4,10.87,118.75,204.92,74.17,216.52,42.13,54.96,28.42,10.03,20.23,92.31,8.27,39.84,7.5,51.81,6.29,320.05,234.9,28.05,47.91,41.83,21.26,NA,47.7,38.81
2021-10-06,115.15,137.565,45.19,115.15,96.91,9.935,97.09,56.9,11.11,117.71,205.26,71.54,209.53,40.65,52.76,26.93,10.04,19.72,91.34,6.93,39.17,7.56,50.36,6.17,309.62,232.02,27.67,47.01,40.48,21.17,NA,45.03,38.61
2021-10-05,115.06,136.023,45.98,115.06,98.99,9.94,99.88,56.79,11.61,118.91,199.5,69.97,203.64,39.49,53.68,26.58,10.05,19.22,91.49,8.2,39.57,7.56,50,6.18,300.28,225.82,28.2,45.61,41.28,20.5,NA,45.44,38.21
2021-10-04,120.25,133.66,46.36,120.25,98.49,9.93,99.04,56.78,11.64,119.32,197.68,68.47,198.72,38.17,52.25,26.57,10.02,18.99,89.26,8.44,39.11,7.32,49.62,6.12,294.68,221.91,28.45,45.72,40.63,20.75,NA,45.38,38.72
2021-10-01,119.42,136.543,47.34,119.42,97.36,9.92,100.45,57.21,12.79,118.66,203.99,69.91,204.37,41.32,53.57,27.9,10.07,20.54,89.74,10.07,39.9,7.62,52.62,6.12,303.72,229.33,28.69,47.05,41.11,21.75,NA,46.14,39.75
2021-09-30,121.76,133.676,46.59,121.76,95.27,9.91,97.36,55.93,13.26,116.78,205.98,69.67,207.96,39.77,54.83,28.32,10.18,20.53,87.13,10.57,39.51,7.68,50.95,6.1,302.43,225.34,27.63,44.8,40.31,22.07,NA,47.49,37.24
2021-09-29,129.01,134.354,47.33,129.01,98.96,9.92,98.61,55.93,13.02,123.4,205.83,69.97,205.3,39.57,54.6,28.38,10.13,19.96,91.25,8.39,40.12,7.68,50.37,6.1,293.8,220.32,28.51,44.52,41.09,22.82,NA,46.34,37.98
2021-09-28,122.48,135.83,48.14,122.48,97.96,9.92,97.08,54.75,13.5,122.98,206.32,71.26,212.35,43.28,55.55,29.45,10.13,20.05,90.49,5.24,40.23,7.68,51.95,6.1,298,227.34,29.23,45.98,40.97,23.61,NA,46.59,38.74
2021-09-27,124.41,141.072,47.92,124.41,98.67,9.92,97.1,56.29,13.53,125.56,216.73,73.67,225.78,51.71,57.14,30.66,10.2,21,91.04,5.4,40.44,7.8,53.77,6.11,311.2,232.94,30.09,47.25,41.81,25.2,NA,47.03,40.03
2021-09-24,123.82,142.215,47.29,123.82,97.77,9.925,96.52,56.24,13.5,121.03,220.52,72.99,222.85,49.73,53.72,29.68,10.35,20.35,89.94,4.01,39.99,7.68,54.2,6.06,316.47,230.2,30.28,46.63,41.61,24.07,NA,46.91,40.39
2021-09-23,122.25,141.216,46.64,122.25,98.12,9.93,96.05,56.17,14.67,120.56,217,73.51,223.66,49.79,52.23,31.02,10.44,19.99,89.42,2.9272,40.06,7.8,54.02,6.04,321.5,234.86,30.54,45.48,41.88,24.5,NA,48.74,39.47
2021-09-22,125.6,140.283,45.83,125.6,96.71,9.91,95.85,56.02,14.04,121.31,217.66,73.21,219.37,48.18,52.07,31.06,10.43,19.46,88.44,3.01,39.2,7.8,54.18,6,315.11,235.35,31.04,44.87,40.87,23.71,NA,49.8,37.14
2021-09-21,121.09,139.033,45.21,121.09,93.01,9.92,93.73,56.06,13.62,119.92,221.36,72.12,220.59,44.12,53,29.34,10.38,19.33,86.92,3.02,38.66,7.38,52.42,5.98,314.27,234.51,29.96,44.36,40.35,23.15,NA,48.79,36.77
2021-09-20,118.82,138.719,46.38,118.82,94.85,9.91,94.53,56.49,13.58,118.88,220.32,72.87,217.66,43.23,52.84,28.99,10.24,18.45,86.17,2.95,38.86,7.44,52.51,6,310.07,237.76,30.13,39.79,40.78,24.13,NA,49.08,36.52
2021-09-17,120.46,140.8,47.68,120.46,97.43,9.9121,95.78,57.11,13.88,120.78,222.91,74.11,226.98,46.6,54.74,30.6,10.28,18.33,86.39,3.16,39.99,7.74,54.77,6.08,322.8,248.1,30.57,39.75,41.56,24.24,NA,50.86,36.73
2021-09-16,117.29,143.61,47.29,117.29,97.39,9.9,97.29,57.28,13.69,121.71,221.5,74.7,224.15,45.42,54.31,30.84,10.07,17.88,87.25,3.38,40.43,7.62,54.21,6.07,323.52,242.02,31.01,39.52,41.22,24.47,NA,51.52,36.5
2021-09-15,110.49,144.43,47.42,110.49,97.82,9.9,97.41,57,13.85,119.5,209.85,73.99,217.42,45.15,55.01,30.58,10.13,17,87.73,3.33,40.37,7.62,54.23,6.04,324.08,242.87,30.09,38.48,42.34,24.69,NA,52.12,36.2
2021-09-14,106.6,142.544,46.56,106.6,97.01,9.89,96.46,55.59,13.59,119.83,203.33,71.39,214.31,44.36,62.05,31.84,10.26,16.9,86.39,3.27,38.92,7.8,54.43,6.03,319.25,243.81,27.08,39.01,41.25,24.59,NA,51.66,36.12
2021-09-13,105.89,142.333,46.98,105.89,97.93,9.92,98.01,59.97,14.33,122.02,208.64,72.67,212.6,45.97,62.77,32.45,10.42,17.76,88.89,3.41,40.37,7.8,55.13,6.05,318.45,244.22,28.25,40.07,41.47,25.87,NA,52.03,36.44
2021-09-10,104.53,140.876,45.86,104.53,97.1,9.91,96.91,59.3,14.31,119.56,210.37,72.56,217.02,45.76,63.11,33.8,10.39,18.75,89.68,3.5,39.65,7.8,54.24,6,318.54,247.76,28.36,39.89,41.44,26.46,NA,53.54,35.78
2021-09-09,105.06,143.541,46.49,105.06,96.61,9.9,98.14,59.56,14.97,121.99,207.74,73,216.63,46.89,65.5,33.79,10.26,18.94,89.54,3.52,40.34,7.8,55.12,6.07,319.97,246.01,28.35,40.35,40.28,26.83,NA,53.67,36.39
2021-09-08,105.29,143.691,44.2,105.29,94.57,9.9,98.08,60.14,14.96,121.92,200.92,73.93,214.77,47.01,64.56,33.97,10.02,18.74,89.47,3.54,40.91,7.74,54.41,6.15,318.1,249.68,27.58,40.07,38.78,26.05,NA,53.55,36.39
2021-09-07,102.98,144.281,44.59,102.98,95.86,9.9374,97.98,60.3,15.86,121.38,197.12,74.71,216.44,50.4,66.99,34.96,10.03,19.7,88.72,3.57,41.62,7.8,55.74,6.16,312.49,254.72,28.92,40.95,39.43,26.7,NA,54.1,37.11
2021-09-03,106.26,143.74,45.53,106.26,97.82,9.865,98.56,61.72,16.16,124.24,193.46,76.53,220.38,49.31,64.6,33.95,9.98,19.18,90,3.42,41.28,7.68,56.59,6.33,310,249.04,27.84,40.32,40.47,26.63,NA,53.87,37.66
2021-09-02,107.48,143.287,46.96,107.48,98.76,9.89,97.9,61.75,16.66,124.94,191.72,76.49,213.49,49.58,65.12,33.71,9.98,18.57,89.8,3.5,41.54,7.68,56.88,6.37,306.89,254.03,27.64,41.4,40.23,26.61,NA,53.14,38.22
2021-09-01,108.21,145.215,47.28,108.21,98.94,9.885,97.35,61.14,16.49,129.2,191.8,76.15,216.78,49.255,65.07,33.78,9.93,18.42,89.95,3.6168,41.41,7.56,56.99,6.31,301.02,238.38,28.01,40.62,41.38,27.09,NA,52.74,38.48
2021-08-31,109.09,144.697,47.53,109.09,96.87,9.91,96.3,60.68,15.91,129.33,191.4,76.74,216.26,45.85,63.3,32.19,9.93,17.73,89.13,3.5,41.45,7.62,55.57,6.27,304.35,234.34,28.06,39.14,40.85,26.86,NA,50.52,38.51
2021-08-30,110.56,144.59,47.69,110.56,101.86,9.865,96.02,59.71,16.71,127.9,192.7,77.55,217.71,44.37,61.91,30.24,9.91,17.56,89.45,3.68,40.23,7.44,56.49,6.27,297.85,233.12,28.45,39.59,41.57,27.32,NA,49.01,38.26
2021-08-27,110.58,144.004,48.24,110.58,102.84,9.89,95.62,59.4,15.93,126.66,187.94,76.41,210.4,45.13,61.97,28.89,9.93,17.33,89.35,3.6,40.89,7.5,57.22,6.25,297.71,226.02,29.05,40.69,41.68,27.23,NA,48.68,38.74
2021-08-26,109.88,141.441,46.58,109.88,102.14,9.88,93.64,59,15.64,124.43,191,75.64,212.59,43.56,59.88,30.5,9.95,16.71,88.72,3.48,39.96,7.32,57.24,6.2,305.26,224.62,28.57,40.62,40.91,25.95,NA,54.52,38.19
2021-08-25,112.6,142.079,47.16,112.6,104.72,9.9,94.49,59.48,15.74,125.39,188.25,74.16,202.28,45.23,56.47,30.17,9.93,17.28,88.62,3.61,40.97,7.62,56.17,6.31,283.76,226.9,29.08,41.55,41.41,26.57,NA,53.67,38.19
2021-08-24,114.97,141.262,48.7,114.97,103.55,9.88,92.89,59.53,15.75,126.5,187.45,72.84,201.4,44.5,54.91,28.46,9.94,17.27,88.55,3.6,40.7,7.8,55.18,6.31,281.37,224.88,29.09,40.17,40.5,26.34,NA,54.21,38.47
2021-08-23,113.79,140.042,49.33,113.79,101.11,9.88,93.16,59.8,15.68,124.05,183.08,73.2,196.58,43.96,49.13,26.03,9.99,16.33,89.12,3.585,40.33,7.26,54.73,6.24,276.44,221.5,28.33,41,40.91,25.33,NA,51.13,38.07
2021-08-20,114.05,137.43,48.06,114.05,99.88,9.87,92.66,59.41,15.76,125.62,184.08,73.36,199.27,41.67,46.82,25.43,10.01,15.41,88.94,3.49,39.71,7.32,53.86,6.3,266.67,216.64,28.55,39.95,40.55,25.02,NA,49.89,37.16
2021-08-19,113.5,135.68,47.33,113.5,98.32,9.85,91.76,58.96,15.62,126.78,182.06,72.83,192.28,40.19,45.28,24.1,10.03,14.92,88.71,3.47,39.64,7.32,52.6,6.17,279.45,205.08,27.72,39.86,40.04,25.96,NA,47.6,36.33
2021-08-18,113.69,135.449,49,113.69,100.8,9.88,91.84,59.03,15.98,132.06,191.63,72.83,190.8,41.78,41.02,25.95,10.11,14.47,88.94,3.415,40.47,7.5,54.15,6.14,280,205.42,28.04,40.88,40.25,25.7,NA,48.01,37.1
2021-08-17,114.73,136.661,49.97,114.73,102.37,9.88,92.92,59.47,16.09,162.23,185.88,72.84,194.3,42.87,40.5,26.3,10.12,14.795,90.95,3.3216,39.03,7.62,56.1,6.12,278,206.16,28.7,41,41.67,27.29,NA,46.35,36.01
2021-08-16,122.43,138.309,51.24,122.43,105.31,9.8925,94.34,59.25,17.01,165.315,187.67,75.25,190.42,44.02,42.93,26.01,10.17,16.31,90.82,3.54,38.52,7.98,56.31,6.07,282.17,208.83,29.75,41.5,42.53,29.1,NA,50.76,37.15
2021-08-13,115.81,137.727,51.41,115.81,105.63,9.87,95.38,59.32,17.21,163.02,194.79,74.02,192.08,49.25,45.2,27.56,10.2,17.55,90.38,3.3999,39.16,8.4,56.06,6.03,291.52,211.48,29.32,42.22,43.02,30.05,NA,52.65,38.12
2021-08-12,117.11,137.194,52.56,117.11,106.45,9.9,95.6,59.03,17,163.93,188.21,68.89,193.24,53.66,46.35,28.08,10.2,17.98,89.81,3.4429,39.96,8.4,56.76,6.03,286.28,215.04,30.55,42.73,44.76,30.38,NA,54.69,38.8
2021-08-11,116.99,136.279,55.46,116.99,106.73,9.91,96.1,59.09,16.37,161.1,190.56,68.02,193.96,50.26,47.89,28.73,10.21,14.5,89.63,3.3903,40.82,8.4,56.8,6.14,275.87,214,31.08,43.08,45.89,37.96,NA,55.52,38.67
2021-08-10,117.49,136.807,54.34,117.49,104.61,9.87,96.31,58.45,15.92,159,190.16,67.31,188.46,50.54,50.93,29.56,10.14,14.85,89.64,3.56,40.75,8.34,57.24,6.16,274.49,215.48,31.73,43.5,44.59,38.5,NA,55.53,39.44
2021-08-09,117.21,136.913,52.9,117.21,103.16,9.86,96.3,58.28,15.28,158.37,183.15,65.35,183.1,53.18,51.41,29.34,10.2,15,89.9,3.74,40.29,8.7,58.85,6.25,280,224.78,33.69,43.25,43.25,38.73,NA,56.01,38.83
2021-08-06,117.23,135.738,52.71,117.23,104.19,9.86,97.75,58.69,14.5,158.35,181.56,65.49,178.36,49.09,49.08,27.85,10.16,14.43,89.52,3.4159,41.5,8.4,58.78,6.5,277.48,221.97,33.11,44.28,43.07,37.53,NA,55.67,39.15
2021-08-05,118.54,136.251,49.53,118.54,104.37,9.8401,98.13,58.34,13.92,157.56,181.33,67.28,182.41,49.42,49.95,28.19,10.24,14.4,89.43,3.4257,41.55,8.4,60.33,6.51,276.99,221.13,32.62,43.07,42.96,36.98,NA,56.58,37.2
2021-08-04,116.32,135.126,48.05,116.32,103.36,9.85,96.64,57.97,13.45,155.22,178.52,68,202.1,47.27,49.97,28.91,10.29,14.51,90.05,3.47,38.79,8.28,60.13,6.43,273.37,217.42,33.06,41.81,42.86,37.02,NA,56.85,35.93
2021-08-03,119.4,135.63,47.96,119.4,104.78,9.84,96.21,58.23,12.75,158.4,177.13,68.01,190.46,34.77,50.42,29.24,10.3,14.17,89.74,3.4901,38.47,8.28,60.01,6.45,284.58,217.95,33.19,42.79,43.53,37.36,NA,56.58,36.5
2021-08-02,120.23,134.855,50.02,120.23,103.34,9.87,95.65,58.47,13.25,158.84,177.63,68.63,188.89,35.29,52.96,31.06,10.5,14.96,87.6,3.25,40.84,8.28,57.12,6.49,268.29,228.4,32.56,43.49,41.29,37.22,NA,57.5,37
2021-07-30,121.33,134.727,50.04,121.33,104.4,9.91,96.46,58.83,13.66,159,174.29,68.21,183.51,35.92,53.45,29,10.56,14.82,87.14,3.17,40.93,8.16,58.9,6.47,265.72,228.67,31.68,43.46,40.39,37.04,NA,56.4,37.4
2021-07-29,120.86,135.777,51.63,120.86,100.97,9.85,95.56,58.11,13.24,160.64,178.06,73.41,198.98,36.75,54.48,28.99,10.59,14.97,87.63,NA,41.69,8.28,72.04,6.49,268.26,225.27,31.98,44.69,41.22,38.64,NA,55.8,39
2021-07-28,116.53,136.094,52.6,116.53,97.43,9.87,91,57.98,12.96,155.44,186.85,72.89,202.94,37.24,55.91,28.38,10.58,15.25,87.18,3.235,41.65,8.34,76.65,6.48,269.36,223.32,31.82,46.14,39.04,38.76,NA,55.62,39.01
2021-07-27,117.66,131.9,53.14,117.66,97.53,9.87,91.35,58.56,12.96,155.89,179.99,72.29,199.48,35.99,55.1,25.35,10.53,14.3,87.8,3.2,41.34,8.34,74.29,6.71,262.68,236.93,31.67,45.82,38.5,38.3,NA,51.9,38.26
2021-07-26,115.55,134.035,54.65,115.55,100.38,9.88,89.2,58.7,13.37,155.45,184.09,73.26,206.05,37.2,54.6,26.58,10.59,14.17,87.86,3.09,42.16,8.58,76.49,6.38,268.8,240.59,32.75,46.81,39.42,38.1,NA,56.59,39.28
2021-07-23,116.72,133.015,52.23,116.72,99.96,9.88,87.73,58.36,13.9,154.78,188.6,73.54,208.86,37.37,55,27.7,10.78,14.4,87.69,3.24,40.99,8.76,76.91,6.43,264.92,243.64,31.98,47.46,39.3,38.6,NA,59.2,38.49
2021-07-22,116.45,128.421,53.43,116.45,98.73,9.87,86.69,57.79,13.99,151.98,182.78,72.06,201.85,37.23,58.49,29.66,10.52,14.52,90.69,3.24,40.87,9.12,72.71,6.48,267.3,244.18,31.9,47.57,39.07,38.33,NA,61.63,37.35
2021-07-21,117.64,127.549,56.54,117.64,99.41,9.88,85.96,57.81,13.85,151.67,179.02,69.86,195.8,37.09,59.43,29.58,10.53,14.92,89.69,3.08,41.3,9.3,72.23,6.55,259.3,247.91,32.6,47.52,39.68,39.97,NA,61.78,38.07
2021-07-20,114.17,126.21,54.36,114.17,98.76,9.89,83.86,57.08,13.2,149.74,177.56,69.57,194.87,34.78,58.57,28.72,10.53,14.6,88.66,NA,40.39,9,71.43,6.53,256.27,246.5,31.4,46.32,39.92,39,NA,60.67,37.27
2021-07-19,106.34,124.578,53.07,106.34,94.22,9.88,80.54,56.63,12.74,140.62,175.5,68.53,190.33,32.84,58.02,29.53,10.47,14.19,86.98,3.25,39.87,8.76,71.36,6.34,252.28,241.81,29.6,45.56,39.26,37.39,NA,60.39,35.67
2021-07-16,102.6,126.97,55.01,102.6,94.79,9.88,82.96,57.55,12.73,146.7,167.36,68.18,184.42,32.32,60.93,29.23,10.6,14.42,87.49,3.25,40.29,8.88,68.73,6.39,250.82,243.24,29.81,46.19,39.2,38.15,NA,60.29,36.87
2021-07-15,103.39,127.005,55.54,103.39,96.59,9.88,83.5,57.95,12.89,136.57,167.33,68.14,182.3,33.38,62.48,29.96,10.53,14.96,86.24,3.25,41.29,9.24,70.03,6.44,251,247.97,30.87,46.42,40.54,38.51,NA,62.66,37.64
2021-07-14,105.22,128.237,57.48,105.22,97.3,9.91,83.49,57.77,13.03,136.22,169.33,68.03,182.86,34.04,60.77,30.39,10.58,15.16,88.28,3.155,41.89,9.54,69.76,6.5,252.54,253.41,31.46,47.15,40.12,40.14,NA,61.89,37.81
2021-07-13,104.45,127.341,58.98,104.45,97.81,9.88,83.19,57.82,13.37,137.45,176.49,68.74,188.5,36.45,62.08,30.8,10.52,15.7,87.07,3.1,42.58,9.24,72.11,6.45,264.62,263.85,32.33,48.08,40.97,41.4,NA,62.1,37.86
2021-07-12,105.86,126.976,62.71,105.86,99.69,9.88,85.81,58.26,13.65,139.41,177.18,68.97,194.3,38.21,57.84,29.34,10.51,16.48,87.08,3.17,43.44,9.12,73.34,6.52,267.06,261.01,32.68,48.41,41.9,40.63,NA,60.31,39.37
2021-07-09,103.23,125.519,60.92,103.23,98.74,9.87,85.83,58.03,13.5,142.1,180.23,69.46,195.09,38.95,59.94,29.69,10.65,16.02,87.76,3.15,42.77,9.06,76.99,6.56,269.49,262.83,32.78,49.07,41.71,41.45,NA,60.03,39.35
2021-07-08,98.26,125.044,58.86,98.26,95.15,9.87,84.25,58.23,12.86,135.89,178.56,68.65,196.02,38.11,58.3,27.57,10.65,15.81,85.59,3.2,41.46,8.82,75.88,6.46,250.3,256.15,32.38,47.55,40.31,40.69,NA,59.72,38
2021-07-07,98.89,126.474,60.97,98.89,97.53,9.87,85.14,58.17,12.25,135.99,185.15,70.07,192.9,38.32,60.57,29.58,10.89,16.03,86.09,3.175,42.8,9,77.72,6.57,248.75,259.04,32.3,48.68,41.15,40.64,NA,59.52,38.28
2021-07-06,97.47,126.19,61.84,97.47,98.19,9.87,84.94,57.66,12.44,141.71,182.77,69.02,197.81,39.01,61.84,30.18,11.5,17.08,83.08,3.2,42.87,9.36,80.29,6.54,239.05,263.52,32.74,50.8,41.14,42.02,NA,57.74,39.58
2021-07-02,99.54,125.257,66.86,99.54,98.65,9.87,85.92,58.42,12.9,144.37,182.91,70.08,197.57,38.08,64.21,31.55,9.91,16.85,81.82,3.34,44.16,9.42,79.31,6.63,237.24,267.83,33.27,51.71,41.26,42.98,NA,54.31,40.73
2021-07-01,98,122.445,65.99,98,100.1,9.86,87.18,57.75,13.05,144.72,180.59,69.8,199.51,39.6,65.22,34.29,9.86,17.09,79.54,3.35,44.95,9.3,79.86,6.57,236.75,268.63,33.53,50.59,45.05,42.51,NA,52.9,40.89
2021-06-30,94.81,122.09,66.8,94.81,99.62,9.86,85.73,57.02,13.14,141.72,178.33,70.21,205.84,38.77,65.97,33.93,9.9402,17.73,77.84,3.205,45.2,9.3,78.95,6.54,241.8,275.59,33.73,50.12,46.28,41.86,NA,52.62,39.96
2021-06-29,93.56,122.272,66.73,93.56,98.52,9.9,85.99,56.54,13.5,140.3,183.91,70.49,202.53,40,68.92,35.01,9.93,17.35,78.1,3.28,44.63,9.54,78.67,6.55,245.8,272.86,33.61,50.76,45.43,41.89,NA,52.09,40.37
2021-06-28,93.6,122.536,66.73,93.6,96.77,9.9,86.72,56.1,13.64,140.91,175.6,68.82,198.41,40.37,71.1,34.59,9.92,17.86,78.5,3.28,46,9.72,78.8,6.51,247.67,271.56,33.65,51.11,44.61,42.03,NA,52.29,40.47
2021-06-25,94.86,122.508,65.15,94.86,99.01,9.94,87.23,56.42,14.07,144.69,176.72,67.9,184.8,39.2,70.65,34.36,9.97,17.11,78.46,2.98,43.82,9.48,76.84,6.52,247.09,266.38,33.57,51.73,45.18,44.16,NA,52.39,41.02
2021-06-24,92.63,122.5,64.96,92.63,97.61,9.87,87.72,56.06,14.35,143.38,175.3,66.57,181.52,39.72,69.73,34.04,10,17.1,77.74,2.945,42.87,9.54,76.28,6.41,251.25,264.16,34.1,50.82,45.19,42.22,NA,51.22,40.85
2021-06-23,92.05,122.127,64.31,92.05,96.32,9.78,86.57,55.48,13.97,141.85,174.03,65.3,179.45,38.33,68.68,33.47,10,17.21,78.1,NA,41.84,9.42,74.79,6.29,249,256.7,34.03,50.51,43.88,42.42,NA,50.83,40.78
2021-06-22,91.99,122.33,62.78,91.99,96.79,NA,88.36,57.63,13.46,140.62,178.98,64.89,177.98,35.63,67.01,33.55,10.03,16.64,78.68,3.1525,40.75,9.36,73.16,6.36,249.29,253.64,33.91,49.05,43.48,43.02,NA,49.16,39.24
2021-06-21,91.24,121.812,61.26,91.24,95.62,9.8,89,57.28,13.59,142.06,173.21,64.4,170.79,35.34,65.6,33.4,9.9501,16.45,77.99,3.29,40.96,9.24,71.13,6.32,248.29,245.6,33.45,48.12,43.91,41.8,NA,49.23,39.2
2021-06-18,88.77,120.111,61.44,88.77,93.82,9.77,86.36,56.71,13.99,137.71,167.33,63.26,169.82,34.92,67.73,34.55,10,16.71,76.23,3.35,40.03,9.54,74.19,6.3,249.4,247.64,31.94,49.7,41.76,41.08,NA,47.55,38.83
2021-06-17,90.69,121.743,61.62,90.69,92.69,9.8,87.33,57.52,13.95,138.85,164.52,65.33,169.64,35.85,69.48,33.14,9.94,16.83,77.56,3.21,40.19,9.66,73.14,6.4,245.53,247.11,33.23,49.7,40.35,40.77,NA,48.13,40.88
2021-06-16,94.29,120.772,64.43,94.29,94.42,9.8,87.79,57.12,13.7,144.61,161.46,66.09,167.37,34.89,71.41,33.74,9.93,16.65,77.08,3.29,41.81,9.96,69.66,6.56,238.84,242.78,34.33,48.89,42.02,41.16,NA,47.85,41.32
2021-06-15,94.02,121.42,63.35,94.02,96.05,9.81,89.11,57.32,13.5,146.75,158.65,65.96,166.06,35.04,71.94,34.47,9.92,16.4,81.64,2.6,41.67,9.72,70.54,6.63,241.41,242.76,34.46,49.3,41.86,40.01,NA,48.27,39.9
2021-06-14,93.3,122.446,65.1,93.3,95.61,9.8,87.7,57.28,13.83,146.86,158.83,65.89,170.3,36.23,74.14,34.93,9.98,17.23,82.62,2.58,42.63,9.9,68.67,6.75,244.2,251.51,34.51,50.77,42.52,45.19,NA,49.27,40.57
2021-06-11,97.92,121.51,64.97,97.92,96.68,9.85,88.71,56.88,14.54,149.38,154.16,67.13,165.82,35.79,72.9,34,9.96,17.2,82.9,2.41,42.35,9.66,68.18,6.74,240.6,243.66,34.41,50.01,43.03,44.24,NA,48.69,40.72
2021-06-10,95.01,121.757,63.05,95.01,93.92,9.8,88.02,56.6,14.75,147.26,144.85,66.75,167.15,35.29,73.7,35.78,9.97,17.29,82.3,NA,41.51,9.78,68.25,6.69,248.8,247.19,35.26,49.55,42.13,42.73,NA,49.74,39.46
2021-06-09,96.5,120.397,66.16,96.5,95.53,9.742,89.04,56.26,14.92,148.5,136.98,65.96,167.3,39.3,73.05,39.85,9.98,17.58,84.52,NA,42.25,10.32,66.12,6.85,247.01,237.7,35.77,49.14,42.69,42.65,NA,49.51,41.09
2021-06-08,97.57,119.922,71.43,97.57,96.78,9.68,89.41,56.43,14.64,154.51,136.76,65.8,170.21,40.67,71.99,40.47,10.06,17.87,84.61,NA,41.68,10.26,66.04,7.09,250.32,242.51,36.43,49.88,43.18,43.29,NA,48.24,42.28
2021-06-07,96.31,120.115,70,96.31,95.57,9.69,87.74,56.92,13.86,153.85,142.5,65.45,168.32,36.56,71.12,39.81,10.05,16.82,83.94,2.715,41.74,10.5,65.43,6.6,250.57,242.66,35.58,50.76,43.63,43.38,NA,47.42,39.38
2021-06-04,97.64,119.678,66.8,97.64,97.17,9.74,87.97,57,13.95,157.64,143.8,65.23,164.18,33.85,70.88,39.14,10.13,16.37,82.89,2.49,41.7,10.5,62.89,6.47,242.56,236.17,35.31,50.18,42.44,43.54,NA,47.73,39
2021-06-03,100.98,117.379,56.77,100.98,97.14,9.69,88.8,56.39,13.82,154.7,139.11,64.07,165.74,33.47,72.13,38.84,10.14,16.3,81.09,2.72,41.58,10.44,62.61,6.38,238.43,232.19,36.37,48.7,43.04,43.17,NA,47.82,39.17
2021-06-02,102.53,118.53,55.32,102.53,99.08,NA,90.01,56.69,13.48,159.78,149.83,63.41,175.14,33.33,73.83,40.45,10.1,16.35,80.27,2.72,42.58,10.68,64.07,6.45,243.18,239.73,37.21,50.79,43.89,44.9,NA,50.57,39.47
2021-06-01,105.33,119.059,54.25,105.33,103.84,9.66,89.66,56.95,12.93,164.76,149.27,61.37,163.46,33.08,75.63,40.01,10.13,15.23,79.57,2.72,42.6,10.62,64.37,6.28,240.81,241.73,37.29,50.98,44.68,45.34,NA,52.1,39.93
2021-05-28,102.13,117.842,53.68,102.13,102.23,NA,87.78,57.34,13.44,164.39,150.28,60.88,164.73,32.26,76.95,39.06,10.06,15.66,78.74,2.57,42.42,10.44,65.3,6.25,238.03,241.57,36.92,50.83,43.59,44.21,NA,50.84,40.11
2021-05-27,102.95,118.134,53.31,102.95,102.1,9.665,87.59,57.34,13.14,169.17,152.82,59.51,166.74,32.69,85.4,38.99,10.07,15.87,78.98,2.4,43.15,10.62,64.3,6.21,245.15,240.26,37.06,50.71,43.34,45.49,NA,50.93,39.81
2021-05-26,101.51,119.016,51.73,101.51,101.13,9.68,88.22,56.85,13.35,174.52,141.86,61.44,168.22,31.9,84.95,38.89,9.99,15.7,79.26,2.6,42.46,10.5,62.94,6.05,235.25,238.39,37.18,51.12,39.96,43.72,NA,50.71,38.73
2021-05-25,99.95,118.144,49.89,99.95,98.72,9.71,88.12,55.7,13.48,159.5,136.27,61.3,167.05,28.18,84.07,37.6,10.07,14.75,78.83,2.875,40.9,10.08,63.76,5.99,229.96,236.76,35.27,50.46,37.5,44.83,NA,50.66,38.1
2021-05-24,101,118.052,50.42,101,98.67,9.7,88.76,55.66,13.97,149.63,140.46,60.97,165.18,28.19,84.43,36.16,10.01,15.17,79.38,NA,41.54,10.02,62.91,6.14,233.92,234.06,34.86,50.03,38.04,44.1,NA,48.34,38.93
2021-05-21,99.94,114.706,50.97,99.94,99.34,9.65,87.18,55.08,13.87,146.75,137.57,61.02,167.56,27.76,86.06,35.79,NA,15.12,79.03,NA,42.15,10.08,60.86,5.95,233.39,229.14,33.96,48.82,37.95,44.09,NA,48.06,37.92
2021-05-20,98.56,115.348,49.93,98.56,101.11,9.63,87.75,55.04,14.28,145.85,137,59.47,172.36,28.61,87.55,36.09,10.01,15.12,78.72,2.81,41.52,10.38,61.34,5.98,230.56,228.68,34,49.33,37.56,43.4,NA,49.12,38.38
2021-05-19,100.13,113.575,49.02,100.13,102.69,9.68,84.89,54.24,14.42,144.22,140.2,59.79,165.42,28.14,86.38,36.9,10.01,14.59,78.74,2.8,39.69,9.9,58.63,5.81,228.81,220.31,34.06,49.47,37.4,42.15,NA,49.06,37.73
